{'trial_id': 'pd_10_0', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 0.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.052198383757076826, 'max_com_displacement_m': 0.026897355419900675, 'max_joint_torque_Nm': 5.7696832902442665, 'max_contact_force_N': 172.39873268547848, 'min_friction_margin': 0.9744534801944383, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_15', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 14.999999999999998, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.05122987876588311, 'max_com_displacement_m': 0.026420505439561856, 'max_joint_torque_Nm': 5.669590836855209, 'max_contact_force_N': 181.28259237802993, 'min_friction_margin': 0.9727565531322647, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_30', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 29.999999999999996, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.04842129106837028, 'max_com_displacement_m': 0.025032847318388573, 'max_joint_torque_Nm': 5.369535625971763, 'max_contact_force_N': 188.9581534265138, 'min_friction_margin': 0.9686715689034547, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_45', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 45.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.04400819131249907, 'max_com_displacement_m': 0.022852763821195422, 'max_joint_torque_Nm': 4.895804195344406, 'max_contact_force_N': 195.9104793353244, 'min_friction_margin': 0.9632561807837603, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_60', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 59.99999999999999, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03849946964999055, 'max_com_displacement_m': 0.020119929951366227, 'max_joint_torque_Nm': 4.282711270727277, 'max_contact_force_N': 201.0558579826973, 'min_friction_margin': 0.9580526905547254, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_75', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 75.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03300050794919442, 'max_com_displacement_m': 0.017391343658730136, 'max_joint_torque_Nm': 3.6452961573821376, 'max_contact_force_N': 204.3761805831631, 'min_friction_margin': 0.9547968615439049, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_90', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 90.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.031909607331130165, 'max_com_displacement_m': 0.016845268251746, 'max_joint_torque_Nm': 3.5229520416177844, 'max_contact_force_N': 205.55503778150083, 'min_friction_margin': 0.9533650400691441, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_105', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 105.00000000000001, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03132164125708315, 'max_com_displacement_m': 0.016497471132026317, 'max_joint_torque_Nm': 3.4688570920738813, 'max_contact_force_N': 204.50427999466115, 'min_friction_margin': 0.9555296571666068, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_120', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 119.99999999999999, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.030754287614517678, 'max_com_displacement_m': 0.01616314065311166, 'max_joint_torque_Nm': 3.41655083680409, 'max_contact_force_N': 201.2903323285334, 'min_friction_margin': 0.9611294086481381, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_135', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 135.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.030180157486437043, 'max_com_displacement_m': 0.015830021131863548, 'max_joint_torque_Nm': 3.363317639654619, 'max_contact_force_N': 196.0853257116952, 'min_friction_margin': 0.9671369630551151, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_150', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 150.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.02970059746332493, 'max_com_displacement_m': 0.01555382525386003, 'max_joint_torque_Nm': 3.3184851237530273, 'max_contact_force_N': 189.47222305851813, 'min_friction_margin': 0.970886407549908, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_165', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 165.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.02938956055230336, 'max_com_displacement_m': 0.015375166933080461, 'max_joint_torque_Nm': 3.2888756082881607, 'max_contact_force_N': 181.6637773770167, 'min_friction_margin': 0.974433033538871, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
