trial_id,controller,push_magnitude_N,push_direction_deg,push_duration_s,impulse_Ns,success,failure_reason,recovered_at_s,recovery_latency_s,max_torso_error_rad,max_com_displacement_m,max_joint_torque_Nm,max_contact_force_N,min_friction_margin,seed,mass_kg,force_over_mg,impulse_over_mass_m_s
calibration_pd_10_0,pd,10.0,0.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.052198383757076784,0.02689735541990066,5.769683290244319,172.39873268548462,0.9744534801944363,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_45,pd,10.0,45.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.04400819131249908,0.022852763821195384,4.895804195344406,195.91047933532448,0.96325618078376,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_90,pd,10.0,90.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.03190960733113012,0.016845268251746034,3.5229520416178035,205.5550377815008,0.9533650400691448,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_135,pd,10.0,135.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.030180157486436987,0.015830021131863527,3.3633176396546602,196.0853257116951,0.9671369630551145,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_180,pd,10.0,180.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.029283151073976037,0.015314043005576539,3.2777964943907927,172.51087993051016,0.9765627527618832,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_225,pd,10.0,225.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.03017989167504924,0.015829898530545613,3.3620003814399206,195.87179559497588,0.967109591496903,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_270,pd,10.0,270.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.0319091806122229,0.016845093245757847,3.521313638266456,205.34273156509232,0.9534397194135611,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_315,pd,10.0,315.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.04400770440530364,0.02285252019624105,4.894697596434818,195.69933227402407,0.9633236309523955,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_20_0,pd,20.0,0.0,0.15,3.0,False,FALL,,,1.923594958353571,0.9410948549591696,139.0,2229.1551328737933,0.0,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_20_45,pd,20.0,45.0,0.15,3.0,False,FALL,,,1.7651232691959515,0.6816420401672748,139.0,3310.484150102816,-2.220446049250313e-16,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_20_90,pd,20.0,90.0,0.15,3.0,True,,2.1519999999999846,0.0019999999999846807,0.031912323353227,0.0168470761891305,4.008328536959118,238.11166579318336,0.8741501562218951,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_20_135,pd,20.0,135.0,0.15,3.0,False,FALL,,,1.9045131446998949,0.7355527069523466,139.0,3012.180839764429,0.0,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_20_180,pd,20.0,180.0,0.15,3.0,False,FALL,,,1.6883274348161927,0.6773880816213678,139.0,1990.6654258683852,0.0,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_20_225,pd,20.0,225.0,0.15,3.0,False,FALL,,,1.7301463215117627,0.9225465646866322,139.0,3031.4178051521103,0.0,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_20_270,pd,20.0,270.0,0.15,3.0,True,,2.1519999999999846,0.0019999999999846807,0.03191149133052708,0.01684669983677125,3.972581818117283,237.90139370861476,0.8743596575815573,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_20_315,pd,20.0,315.0,0.15,3.0,False,FALL,,,1.9215404228848667,0.7073856232733745,139.0,2364.070520722493,-2.220446049250313e-16,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_40_0,pd,40.0,0.0,0.15,6.0,False,FALL,,,1.921526708701052,0.6831970475547658,139.0,2215.1073695516206,0.0,0,35.112142000000006,0.11612712113605099,0.17088105875169904
calibration_pd_40_45,pd,40.0,45.0,0.15,6.0,False,FALL,,,1.6957780606422115,0.7832878397204669,139.0,2930.274995156228,0.0,0,35.112142000000006,0.11612712113605099,0.17088105875169904
calibration_pd_40_90,pd,40.0,90.0,0.15,6.0,False,FALL,,,1.9195387771033383,0.8121105638351496,139.0,2177.696647467602,-2.220446049250313e-16,0,35.112142000000006,0.11612712113605099,0.17088105875169904
